area_name,area_code,date,cases,rolling_sum,rolling_rate,age_band,age_lower,age_higher,population
London,E12000007,2022-03-25,162,1141,191.5,0 - 4 years,0,4,595799
London,E12000007,2022-03-25,197,2045,337.3,5 - 9 years,5,9,606333
London,E12000007,2022-03-25,242,2485,451.2,10 - 14 years,10,14,550753
London,E12000007,2022-03-25,248,2322,489.4,15 - 19 years,15,19,474456
London,E12000007,2022-03-25,494,3727,669.6,20 - 24 years,20,24,556594
London,E12000007,2022-03-25,738,6460,852.4,25 - 29 years,25,29,757848
London,E12000007,2022-03-25,916,7492,911.3,30 - 34 years,30,34,822084
London,E12000007,2022-03-25,815,6517,835.6,35 - 39 years,35,39,779934
London,E12000007,2022-03-25,717,5568,821.9,40 - 44 years,40,44,677463
London,E12000007,2022-03-25,602,4833,807.5,45 - 49 years,45,49,598535
London,E12000007,2022-03-25,553,4315,757.1,50 - 54 years,50,54,569938
London,E12000007,2022-03-25,445,3821,751.1,55 - 59 years,55,59,508722
London,E12000007,2022-03-25,420,3078,758.9,60 - 64 years,60,64,405576
London,E12000007,2022-03-25,293,2203,692.5,65 - 69 years,65,69,318142
London,E12000007,2022-03-25,257,1796,640.4,70 - 74 years,70,74,280432
London,E12000007,2022-03-25,189,1248,635.4,75 - 79 years,75,79,196419
London,E12000007,2022-03-25,107,709,469.6,80 - 84 years,80,84,150980
London,E12000007,2022-03-25,56,423,450.9,85 - 89 years,85,89,93808
London,E12000007,2022-03-25,36,338,576.1,90+ years,90,90,58672
London,E12000007,2022-03-25,12,55,0,unassigned,NA,NA,NA
London,E12000007,2022-03-24,157,1117,187.5,0 - 4 years,0,4,595799
London,E12000007,2022-03-24,241,2116,349,5 - 9 years,5,9,606333
London,E12000007,2022-03-24,275,2522,457.9,10 - 14 years,10,14,550753
London,E12000007,2022-03-24,271,2343,493.8,15 - 19 years,15,19,474456
London,E12000007,2022-03-24,556,3731,670.3,20 - 24 years,20,24,556594
London,E12000007,2022-03-24,969,6542,863.2,25 - 29 years,25,29,757848
London,E12000007,2022-03-24,1044,7552,918.6,30 - 34 years,30,34,822084
London,E12000007,2022-03-24,909,6508,834.4,35 - 39 years,35,39,779934
London,E12000007,2022-03-24,762,5550,819.2,40 - 44 years,40,44,677463
London,E12000007,2022-03-24,698,4846,809.6,45 - 49 years,45,49,598535
London,E12000007,2022-03-24,616,4282,751.3,50 - 54 years,50,54,569938
London,E12000007,2022-03-24,567,3871,760.9,55 - 59 years,55,59,508722
London,E12000007,2022-03-24,428,3053,752.8,60 - 64 years,60,64,405576
London,E12000007,2022-03-24,312,2190,688.4,65 - 69 years,65,69,318142
London,E12000007,2022-03-24,261,1816,647.6,70 - 74 years,70,74,280432
